name,serving_size,calories,proteins,carbohydrate,fat,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,name_clean,food_category
"Ikan sunu, asin, mentah",20.30 g,199.0,34.1,7.1,3.8,0.0,377.0,0.0,9.26,56.83,2.18,5.67,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan sunu, asin, mentah",High protein
"Soto pekalongan, masakan",1.30 g,94.0,3.0,5.1,6.8,0.0,0.0,0.3,4.37,5.0,1.57,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"soto pekalongan, masakan",Low Carb
Marie duo,1 g,15.0,1.0,14.0,3.5,5.0,85.0,1.0,4.19,1.67,4.31,5.22,5.67,10.0,6.0,0.0,0.0,0.0,0.0,0.0,marie duo,Low Sugar
"Kaparende, sayur",1.30 g,38.0,2.4,2.6,2.0,0.0,170.0,1.5,1.77,4.0,0.8,2.99,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kaparende, sayur",Low Carb
Kacang lebui / iris,3.60 g,346.0,16.5,66.6,1.5,0.0,17.0,37.3,16.09,27.5,20.49,2.24,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kacang lebui / iris,High protein
The coffe bean & tea leaf pure vanilla ice blended drink,15 g,410.0,15.0,70.0,9.0,63.0,0.0,0.0,19.07,25.0,21.54,13.43,0.0,0.0,0.0,25.0,22.0,20.0,0.0,0.0,the coffe bean & tea leaf pure vanilla ice blended drink,High protein
Dairy queen banana split,4 g,520.0,9.0,92.0,14.0,72.0,0.0,4.0,24.19,15.0,28.31,20.9,0.0,0.0,0.0,0.0,29.0,25.0,21.0,0.0,dairy queen banana split,Snack
"Gembili, ubi, segar",1 g,131.0,1.1,31.3,0.2,0.0,10.0,1.1,6.09,1.83,9.63,0.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"gembili, ubi, segar",Low Sugar
Baked lotus paste mooncake with two egg yolks,0.85 g,223.0,4.05,20.5,13.79,0.0,0.0,0.85,10.37,6.75,6.31,20.58,0.0,0.0,0.0,7.0,0.0,11.0,21.0,0.0,baked lotus paste mooncake with two egg yolks,Low Sugar
Cumi-cumi,0.90 g,75.0,16.1,0.1,0.7,0.0,37.0,0.0,3.49,26.83,0.03,1.04,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cumi-cumi,High protein
"Kunyit, segar",1.30 g,69.0,2.0,9.1,2.7,0.0,6.0,0.6,3.21,3.33,2.8,4.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kunyit, segar",Low Carb
The coffe bean & tea leaf black forest ice blended drink,12 g,490.0,12.0,89.0,10.0,76.0,0.0,0.0,22.79,20.0,27.38,14.93,0.0,0.0,0.0,20.0,28.0,23.0,0.0,0.0,the coffe bean & tea leaf black forest ice blended drink,Snack
Coklat silverqueen almond,4 g,170.0,4.0,14.0,11.0,11.0,0.0,0.0,7.91,6.67,4.31,16.42,0.0,0.0,0.0,7.0,0.0,8.0,17.0,0.0,coklat silverqueen almond,Snack
